hostname,crux_origin,tranco_domain,pageviews,visits,crux_rank,tranco_rank
www.irs.gov,https://www.irs.gov,irs.gov,92240332,38828362,1000,605
pubmed.ncbi.nlm.nih.gov,https://pubmed.ncbi.nlm.nih.gov,,402850100,107018234,1000,
studentaid.gov,https://studentaid.gov,studentaid.gov,78962867,16028190,5000,3635
www.va.gov,https://www.va.gov,va.gov,107799858,23469867,5000,943
www.ssa.gov,https://www.ssa.gov,ssa.gov,70514596,32143498,5000,2232
medlineplus.gov,https://medlineplus.gov,medlineplus.gov,50448954,41559319,5000,2309
sa.www4.irs.gov,https://sa.www4.irs.gov,,4733,430,5000,
secure.login.gov,https://secure.login.gov,,153529864,69050578,5000,
ceac.state.gov,https://ceac.state.gov,,241441534,13669328,5000,
forecast.weather.gov,https://forecast.weather.gov,,69457928,40716409,5000,
pmc.ncbi.nlm.nih.gov,https://pmc.ncbi.nlm.nih.gov,,43333263,31049774,5000,
secure.ssa.gov,https://secure.ssa.gov,,63697115,16500340,5000,
www.ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov,,262262390,157555228,5000,
www.weather.gov,https://www.weather.gov,weather.gov,54795974,29724548,10000,2346
www.whitehouse.gov,https://www.whitehouse.gov,whitehouse.gov,13116042,9206251,10000,808
www.cdc.gov,https://www.cdc.gov,cdc.gov,59722002,36047802,10000,315
www.nps.gov,https://www.nps.gov,nps.gov,41545044,19472539,10000,1783
www.uscis.gov,https://www.uscis.gov,uscis.gov,42935843,20404770,10000,3207
travel.state.gov,https://travel.state.gov,,69452058,28276536,10000,
my.uscis.gov,https://my.uscis.gov,,8908180,6520087,10000,
www.spc.noaa.gov,https://www.spc.noaa.gov,,11877759,2424123,10000,
www.state.gov,https://www.state.gov,state.gov,6113792,4470002,50000,887
www.bop.gov,https://www.bop.gov,bop.gov,6879539,3532125,50000,23793
www.fda.gov,https://www.fda.gov,fda.gov,27688558,15091938,50000,751
www.cancer.gov,https://www.cancer.gov,cancer.gov,10515655,8487675,50000,2938
www.osha.gov,https://www.osha.gov,osha.gov,9015062,3270699,50000,3541
www.medicare.gov,https://www.medicare.gov,medicare.gov,32452674,13134436,50000,6636
www.tsp.gov,https://www.tsp.gov,tsp.gov,12335276,7614051,50000,34406
www.login.gov,https://www.login.gov,login.gov,7011022,2908564,50000,6130
www.tsa.gov,https://www.tsa.gov,tsa.gov,11660019,5225292,50000,7306
www.treasurydirect.gov,https://www.treasurydirect.gov,treasurydirect.gov,5238751,2433865,50000,18682
www.myplate.gov,https://www.myplate.gov,myplate.gov,6878577,1740002,50000,31364
www.dhs.gov,https://www.dhs.gov,dhs.gov,5177486,3368449,50000,2426
www.healthcare.gov,https://www.healthcare.gov,healthcare.gov,11292255,7053693,50000,7622
www.cbp.gov,https://www.cbp.gov,cbp.gov,10007333,5553042,50000,5440
www.dol.gov,https://www.dol.gov,dol.gov,7187496,4335843,50000,2919
www.usajobs.gov,https://www.usajobs.gov,usajobs.gov,142277721,20595534,50000,14891
www.sec.gov,https://www.sec.gov,sec.gov,24458917,9130929,50000,2155
www.recreation.gov,https://www.recreation.gov,recreation.gov,223378,58559,50000,13101
sam.gov,https://sam.gov,sam.gov,48970107,5886357,50000,16461
www.epa.gov,https://www.epa.gov,epa.gov,10042366,5908956,50000,862
www.ice.gov,https://www.ice.gov,ice.gov,1874113,1188501,50000,11413
www.nasa.gov,https://www.nasa.gov,nasa.gov,10538663,6172993,50000,392
www.justice.gov,https://www.justice.gov,justice.gov,14430005,10013320,50000,2365
www.eftps.gov,https://www.eftps.gov,eftps.gov,484673,386465,50000,29038
www.usa.gov,https://www.usa.gov,usa.gov,17234246,11471081,50000,2286
www.bls.gov,https://www.bls.gov,bls.gov,12385386,5571718,50000,2071
www.census.gov,https://www.census.gov,census.gov,9151648,3289090,50000,2082
www.archives.gov,https://www.archives.gov,archives.gov,7325640,4656801,50000,2626
www.usgs.gov,https://www.usgs.gov,usgs.gov,5440262,3190230,50000,2022
egov.uscis.gov,https://egov.uscis.gov,,14147960,8585668,50000,
ttp.cbp.dhs.gov,https://ttp.cbp.dhs.gov,,26233536,4101446,50000,
spaceplace.nasa.gov,https://spaceplace.nasa.gov,,3729912,1538101,50000,
pubchem.ncbi.nlm.nih.gov,https://pubchem.ncbi.nlm.nih.gov,,13866216,6307008,50000,
esta.cbp.dhs.gov,https://esta.cbp.dhs.gov,,34945216,6887272,50000,
blast.ncbi.nlm.nih.gov,https://blast.ncbi.nlm.nih.gov,,26846050,1808133,50000,
water.noaa.gov,https://water.noaa.gov,,3245155,2190170,50000,
www.fs.usda.gov,https://www.fs.usda.gov,,8771156,4350285,50000,
earthquake.usgs.gov,https://earthquake.usgs.gov,,26469768,4031702,50000,
apod.nasa.gov,https://apod.nasa.gov,,4100348,2066886,50000,
tsaenrollmentbyidemia.tsa.dhs.gov,https://tsaenrollmentbyidemia.tsa.dhs.gov,,6196976,2533103,50000,
waterdata.usgs.gov,https://waterdata.usgs.gov,,3494426,2420991,50000,
www.myhealth.va.gov,https://www.myhealth.va.gov,,17241386,8625563,50000,
science.nasa.gov,https://science.nasa.gov,,10709984,6084721,50000,
eric.ed.gov,https://eric.ed.gov,,6588688,2655136,50000,
radar.weather.gov,https://radar.weather.gov,,53528311,10080494,50000,
eauth.va.gov,https://eauth.va.gov,,5706667,2786138,50000,
i94.cbp.dhs.gov,https://i94.cbp.dhs.gov,,13220980,3104362,50000,
www.niddk.nih.gov,https://www.niddk.nih.gov,,4319005,3528075,50000,
acis.eoir.justice.gov,https://acis.eoir.justice.gov,,10062826,3492816,50000,
www.nhlbi.nih.gov,https://www.nhlbi.nih.gov,,8721680,6524537,50000,
www.sba.gov,https://www.sba.gov,sba.gov,5142255,2767302,100000,3432
www.defense.gov,https://www.defense.gov,defense.gov,4332523,2644933,100000,3478
www.hudhomestore.gov,https://www.hudhomestore.gov,hudhomestore.gov,1498668,412411,100000,158529
www.uspto.gov,https://www.uspto.gov,uspto.gov,5575896,2657802,100000,2842
www.research.gov,https://www.research.gov,research.gov,1634374,540816,100000,154240
www.dea.gov,https://www.dea.gov,dea.gov,2499458,1606510,100000,14175
www.fema.gov,https://www.fema.gov,fema.gov,33579654,20404310,100000,3538
www.energy.gov,https://www.energy.gov,energy.gov,4980203,3247266,100000,2340
aviationweather.gov,https://aviationweather.gov,aviationweather.gov,6544844,2672701,100000,14706
www.opm.gov,https://www.opm.gov,opm.gov,10978206,4421462,100000,13287
www.cuidadodesalud.gov,https://www.cuidadodesalud.gov,cuidadodesalud.gov,812291,603682,100000,79079
www.consumerfinance.gov,https://www.consumerfinance.gov,consumerfinance.gov,4680791,2714988,100000,6807
www.fws.gov,https://www.fws.gov,fws.gov,3041651,1483587,100000,5965
www.ready.gov,https://www.ready.gov,ready.gov,1878044,1260432,100000,10778
www.nsopw.gov,https://www.nsopw.gov,nsopw.gov,26704967,4710761,100000,63718
www.hhs.gov,https://www.hhs.gov,hhs.gov,6353222,3519275,100000,2114
www.ecfr.gov,https://www.ecfr.gov,ecfr.gov,11417077,5210959,100000,8877
www.pay.gov,https://www.pay.gov,pay.gov,70445,34920,100000,49940
www.cms.gov,https://www.cms.gov,cms.gov,11685474,5879676,100000,4328
www.federalregister.gov,https://www.federalregister.gov,federalregister.gov,5599161,3473908,100000,3792
treasurydirect.gov,https://treasurydirect.gov,treasurydirect.gov,782930,366857,100000,18682
www.donotcall.gov,https://www.donotcall.gov,donotcall.gov,3144920,1375166,100000,30167
www.airnow.gov,https://www.airnow.gov,airnow.gov,2795819,1418254,100000,26409
www.noaa.gov,https://www.noaa.gov,noaa.gov,12232403,8344629,100000,637
www.fcc.gov,https://www.fcc.gov,fcc.gov,1872524,1091221,100000,2685
www.faa.gov,https://www.faa.gov,faa.gov,5303950,2850923,100000,3818
login.gov,https://login.gov,login.gov,3052047,1683504,100000,6130
www.gsa.gov,https://www.gsa.gov,gsa.gov,5466260,2503318,100000,5881
www.usmint.gov,https://www.usmint.gov,usmint.gov,1068239,633616,100000,17975
www.eeoc.gov,https://www.eeoc.gov,eeoc.gov,2603161,1691717,100000,8559
www.nhtsa.gov,https://www.nhtsa.gov,nhtsa.gov,5799351,3897380,100000,5000
www.hud.gov,https://www.hud.gov,hud.gov,5146671,2691017,100000,4859
tricare.mil,https://tricare.mil,tricare.mil,1742570,682376,100000,32756
www.dfas.mil,https://www.dfas.mil,dfas.mil,1943121,942977,100000,43919
www.ed.gov,https://www.ed.gov,ed.gov,1986579,1216697,100000,1993
history.state.gov,https://history.state.gov,,2478688,1654654,100000,
home.treasury.gov,https://home.treasury.gov,,3370746,2077116,100000,
passportstatus.state.gov,https://passportstatus.state.gov,,4846058,1679814,100000,
